DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT
2019-01-30	30647433	Legge SE	2019-01-15	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30647433	A genome-wide association study in individuals of African ancestry reveals the importance of the Duffy-null genotype in the assessment of clozapine-related neutropenia.	Neutrophil level response to clozapine in treatment-resistant schizophrenia	552 Sub-Saharan African ancestry individuals	NA	Illumina [~ 13500000] (imputed)	2
2019-01-29	30642363	Hoffman J	2019-01-14	Breast Cancer Res	www.ncbi.nlm.nih.gov/pubmed/30642363	Identification of novel common breast cancer risk variants at the 6q25 locus among Latinas.	Breast cancer	2,385 Latina cases, 6,416 Latina controls	2,412 Latina cases, 1,580 Latina controls, 3,153 African American cases, 2,831 African American controls, 1,657 African, African American and West Indian cases, 2,029 African, African American and West Indian controls,  4,525 East Asian ancestry cases, 4,194 East Asian ancestry controls, European ancestry cases, European ancestry controls	Affymetrix, Illumina [at least 192795] (imputed)	0
2019-01-28	30610202	Ruderfer DM	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610202	Significant shared heritability underlies suicide attempt and clinically predicted probability of attempting suicide.	Suicide attempts	2,433 British ancestry cases, 334,766 British ancestry controls	NA	Affymetrix [7797387] (imputed)	0
2019-01-28	30610202	Ruderfer DM	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610202	Significant shared heritability underlies suicide attempt and clinically predicted probability of attempting suicide.	Predicted suicide risk	24,546 European ancestry individuals	NA	Illumina [~ 9000000] (imputed)	2
2019-01-29	30610198	Soler Artigas M	2019-01-04	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30610198	Attention-deficit/hyperactivity disorder and lifetime cannabis use: genetic overlap and causality.	Attention deficit hyperactivity disorder or cannabis use	18,345 European ancestry ADHD cases, 14,374 European ancestry cannabis use cases, 50,410 European ancestry controls	NA	NR [5009020] (imputed)	16
2019-01-21	30582445	Mola-Caminal M	2019-01-01	Circ Res	www.ncbi.nlm.nih.gov/pubmed/30582445	PATJ Low Frequency Variants Are Associated With Worse Ischemic Stroke Functional Outcome.	3-month functional outcome in ischaemic stroke (modified Rankin score)	1,225 European ancestry individuals	1,791 European ancestry individuals	Illumina [4480015] (imputed)	1
2019-01-28	30598549	Morris JA	2018-12-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30598549	An atlas of genetic influences on osteoporosis in humans and mice.	Heel bone mineral density	426,824 British ancestry individuals	NA	NR [13737936] (imputed)	1103
2019-01-28	30598549	Morris JA	2018-12-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30598549	An atlas of genetic influences on osteoporosis in humans and mice.	Fractures	53,184 British ancestry cases, 373,611 British ancestry controls	367,900 European ancestry cases, 363,919 European ancestry controls	NR [13977204] (imputed)	14
2019-01-25	30583798	Bovijn J	2018-12-21	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30583798	GWAS Identifies Risk Locus for Erectile Dysfunction and Implicates Hypothalamic Neurobiology and Diabetes in Etiology.	Erectile dysfunction	6,175 European ancestry male cases, 217,630 European ancestry male controls	NA	Affymetrix, Illumina [at least 807411] (imputed)	23
2019-01-21	30563984	Hawi Z	2018-12-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/30563984	A case-control genome-wide association study of ADHD discovers a novel association with the tenascin R (TNR) gene.	Attention deficit hyperactivity disorder	480 European ancestry cases, 1,208 European ancestry controls	NA	Illumina [5407269] (imputed)	14
2019-01-18	30552067	Shrine N	2018-12-11	Lancet Respir Med	www.ncbi.nlm.nih.gov/pubmed/30552067	Moderate-to-severe asthma in individuals of European ancestry: a genome-wide association study.	Asthma (moderate or severe)	5,135 European ancestry cases, 25,675 European ancestry controls	5,414 European ancestry cases, 21,471 European ancestry controls	Affymetrix [33771858] (imputed)	27
2019-01-29	30531825	Morgan MD	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531825	Genome-wide study of hair colour in UK Biobank explains most of the SNP heritability.	Red vs. brown/black hair color	15,731 British ancestry red hair individuals, 283,920 British ancestry brown or black hair individuals	NA	Affymetrix [9154080] (imputed)	40
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Physical activity (overall physical activity time)	91,105 European ancestry individuals	NA	NR [9926106] (imputed)	7
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Physical activity (moderate intensity activity duration)	91,105 European ancestry individuals	NA	NR [9926106] (imputed)	2
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sedentary behaviour duration	91,105 European ancestry individuals	NA	NR [9926106] (imputed)	6
2019-01-18	30531941	Doherty A	2018-12-10	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30531941	GWAS identifies 14 loci for device-measured physical activity and sleep duration.	Sleep duration	91,105 European ancestry individuals	NA	NR [9926106] (imputed)	27
